;;;;;;;;;;;;;;;;;;;;
#;;;Ocupação (CBO);;;Acidentes;;;Óbitos;;;;Taxa;;;Tx.;;Destaque;;
;;;;;;;;;;;;;CAT;;;Letali.;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;;;;Agente de segurança;;829;;;17;;;10.232,1;;;16,05;;;;;
;;;;penitenciária;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;2;;;Rebarbador de metal;;;18.687;;;9;;;8.415,2;;;1,44;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;3;;;Avicultor;;;306;;;0;;;6.860,6;;;0,00;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;4;;;Ceramista;;;7.508;;;31;;;6.584,5;;;16,74;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
5;;;;Dirigente do serviço público;;1.534;;;21;;;6.293,1;;;123,61;;;;;
;;;;municipal;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
