;;;;;;;;;;;;;;;;;;;;
#;;;Setor Econômico (CNAE);;;Acidentes;;;Óbitos;;;;Taxa;;;Tx.;;Destaque;;
;;;;;;;;;;;;;CAT;;;Letali.;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;;;Obras de montagem industrial;;;11.497;;;106;;;80.026,2;;;183,62;;;;★;
;;;;;;;;;;;;;;;;;;;Record;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2;;;;Medição de consumo de;;4.764;;;19;;;51.357,1;;;148,41;;;;;
;;;;energia elétrica, gás e água;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
3;;;;Bancos múltiplos sem carteira;;190;;;1;;;34.519,2;;;14,29;;;;;
;;;;comercial;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;4;;;Fundição de ferro e aço;;;39.604;;;33;;;21.590,0;;;29,42;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
5;;;;Comércio atacadista de café;;317;;;1;;;21.429,4;;;50,00;;;;;
;;;;torrado e moído;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;6;;;Frigorífico – abate de suínos;;;55.135;;;62;;;19.387,4;;;14,41;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
7;;;;Moagem de trigo e fabricação;;6.295;;;19;;;19.361,2;;;72,40;;;;;
;;;;de derivados;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
8;;;;Regulação de atividades de;;8.050;;;22;;;16.592,3;;;101,60;;;;;
;;;;saúde e educação;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
9;;;;Extração de madeira em;;3.952;;;53;;;15.818,1;;;269,98;;;;;
;;;;florestas plantadas;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
10;;;;Outras atividades de serviços;;1.101;;;2;;;15.152,2;;;11,09;;;;;
;;;;financeiros;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
