;;;;;;;;;;;;;;;;;;;;
;2;;;Construção de edifícios;;;122.455;;;820;;;3.743,3;;;238,10;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;3;;;Administração pública em geral;;;177.078;;;596;;;7.609,3;;;195,15;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
4;;;;Atividades de vigilância e;;42.086;;;467;;;1.079,7;;;350,10;;;;;
;;;;segurança privada;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;5;;;Supermercados;;;204.277;;;335;;;2.150,6;;;83,82;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
6;;;;Transp. rodoviário de carga;;22.106;;;328;;;2.258,0;;;564,26;;;;;
;;;;municipal;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
7;;;;Comércio varejista de;;27.033;;;308;;;896,2;;;439,60;;;;;
;;;;combustíveis;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
8;;;;Construção de rodovias e;;26.889;;;298;;;4.505,6;;;325,17;;;;;
;;;;ferrovias;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;9;;;Serviços de engenharia;;;38.547;;;290;;;2.830,5;;;297,80;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
10;;;;Transp. rodoviário de produtos;;15.008;;;282;;;2.289,1;;;880,04;;;★ Letali.;;
;;;;perigosos;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
